SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
128,2.048,4,10,protocol,7.5,200,54,0.27,20,17,0.85,0.925,0.55102,0.267327,0.135,0.113924,0.0947368,0.0947368,0.0947368,0.0947368,0.229421
129,2.048,4,10,protocol,7.5,200,64,0.32,6,6,1,0.95,0.457143,0.32,0.164948,0.142222,0.115523,0.115523,0.115523,0.115523,0.229574
130,2.048,4,10,protocol,7.5,200,87,0.435,0,0,0,0.981481,0.621429,0.365546,0.247159,0.207143,0.155914,0.155914,0.155914,0.155914,0.22961
131,1.024,2,10,protocol,7.5,200,84,0.42,0,0,0,0.925,0.545455,0.344262,0.247059,0.206897,0.15,0.15,0.15,0.15,0.229713
132,0,0,10,protocol,7.5,200,81,0.405,20,20,1,1,0.525974,0.3375,0.239645,0.199507,0.148352,0.148352,0.148352,0.148352,0.229639
133,0,0,10,protocol,7.5,200,96,0.48,20,20,1,0.983333,0.6,0.4,0.3,0.231884,0.168421,0.168421,0.168421,0.168421,0.229593
134,0,0,10,protocol,7.5,200,95,0.475,20,20,1,0.966667,0.650685,0.416667,0.306452,0.21789,0.167845,0.167845,0.167845,0.167845,0.229499
135,0,0,10,protocol,7.5,200,72,0.36,8,8,1,1,0.514286,0.346154,0.232258,0.163636,0.128571,0.128571,0.128571,0.128571,0.229406
136,0,0,10,protocol,7.5,200,58,0.29,0,0,0,0.966667,0.414286,0.29,0.176829,0.131818,0.103943,0.103943,0.103943,0.103943,0.229315
137,0,0,10,protocol,7.5,200,63,0.315,0,0,0,1,0.463235,0.29717,0.181034,0.150718,0.1171,0.1171,0.1171,0.1171,0.229237
138,0,0,10,protocol,7.5,200,60,0.3,0,0,0,1,0.526316,0.23622,0.166667,0.15,0.111111,0.111111,0.111111,0.111111,0.229181
139,0,0,10,protocol,7.5,200,59,0.295,0,0,0,0.975,0.546296,0.226923,0.168571,0.144608,0.115686,0.115686,0.115686,0.115686,0.229275
140,0,0,10,protocol,7.5,200,58,0.29,0,0,0,0.964286,0.3625,0.233871,0.177914,0.138756,0.116,0.116,0.116,0.116,0.229286
141,0,0,10,protocol,7.5,200,93,0.465,0,0,0,1,0.58125,0.357692,0.290625,0.239691,0.186,0.186,0.186,0.186,0.229233
142,0,0,10,protocol,7.5,200,82,0.41,0,0,0,1,0.5125,0.315385,0.266234,0.215789,0.169421,0.169421,0.169421,0.169421,0.22919
143,0,0,10,protocol,7.5,200,80,0.4,10,10,1,1,0.526316,0.307692,0.25,0.212766,0.171674,0.171674,0.171674,0.171674,0.229159
144,0,0,10,protocol,7.5,200,79,0.395,20,20,1,1,0.564286,0.303846,0.246875,0.227666,0.168803,0.168803,0.168803,0.168803,0.229107
145,0,0,10,protocol,7.5,200,63,0.315,20,20,1,0.975,0.45,0.242308,0.196875,0.185294,0.136364,0.136364,0.136364,0.136364,0.229025
146,0,0,10,protocol,7.5,200,42,0.21,18,18,1,1,0.3,0.162791,0.13125,0.123529,0.0954545,0.0954545,0.0954545,0.0954545,0.228974
147,0,0,10,protocol,7.5,200,40,0.2,0,0,0,1,0.285714,0.166667,0.125,0.117647,0.0869565,0.0869565,0.0869565,0.0869565,0.228894
148,0,0,10,protocol,7.5,200,38,0.19,0,0,0,0.95,0.339286,0.158333,0.11875,0.111765,0.0826087,0.0826087,0.0826087,0.0826087,0.228835
149,0,0,10,protocol,7.5,200,40,0.2,0,0,0,1,0.4,0.166667,0.130719,0.117647,0.0873362,0.0873362,0.0873362,0.0873362,0.228837
150,0,0,10,protocol,7.5,200,38,0.19,0,0,0,0.95,0.38,0.158333,0.126667,0.111765,0.0863636,0.0863636,0.0863636,0.0863636,0.228927
151,0,0,10,protocol,7.5,200,38,0.19,0,0,0,0.95,0.38,0.158333,0.126667,0.115854,0.0900474,0.0900474,0.0900474,0.0900474,0.22892
152,0,0,10,protocol,7.5,200,40,0.2,0,0,0,1,0.493827,0.166667,0.133333,0.125,0.0952381,0.0952381,0.0952381,0.0952381,0.228864
153,0,0,10,protocol,7.5,200,27,0.135,0,0,0,0.95,0.3375,0.1125,0.09,0.084375,0.0658537,0.0658537,0.0658537,0.0658537,0.228799
154,0,0,10,protocol,7.5,200,32,0.16,0,0,0,1,0.4,0.144144,0.106667,0.1,0.08,0.08,0.08,0.08,0.228802
155,0,0,10,protocol,7.5,200,40,0.2,0,0,0,1,0.5,0.185185,0.133333,0.125,0.1,0.1,0.1,0.1,0.228728
156,0,0,10,protocol,7.5,200,40,0.2,0,0,0,1,0.5,0.2,0.133333,0.125,0.1,0.1,0.1,0.1,0.228655
157,0,0,10,protocol,7.5,200,40,0.2,0,0,0,1,0.434783,0.2,0.133333,0.125,0.1,0.1,0.1,0.1,0.228584
158,0,0,10,protocol,7.5,200,40,0.2,0,0,0,1,0.4,0.2,0.138889,0.125,0.1,0.1,0.1,0.1,0.228523
159,0,0,10,protocol,7.5,200,50,0.25,18,18,1,0.95,0.5,0.25,0.189394,0.15625,0.125,0.125,0.125,0.125,0.22848
160,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.3,0.230769,0.1875,0.15,0.15,0.15,0.15,0.228583
161,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.3,0.230769,0.1875,0.144928,0.144928,0.144928,0.144928,0.228606
162,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.283019,0.230769,0.1875,0.142857,0.142857,0.142857,0.142857,0.228566
163,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.196078,0.139535,0.139535,0.139535,0.139535,0.228534
164,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.130435,0.130435,0.130435,0.130435,0.228512
165,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.130435,0.130435,0.130435,0.130435,0.228472
166,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.130435,0.130435,0.130435,0.130435,0.228406
167,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.133333,0.133333,0.133333,0.133333,0.228366
168,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.136364,0.136364,0.136364,0.136364,0.228302
169,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.136364,0.136364,0.136364,0.136364,0.228255
170,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.136364,0.136364,0.136364,0.136364,0.228262
171,0,0,10,protocol,7.5,200,59,0.295,20,20,1,1,0.59,0.268182,0.226923,0.196667,0.134091,0.134091,0.134091,0.134091,0.228343
172,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.136364,0.136364,0.136364,0.136364,0.228341
173,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.136364,0.136364,0.136364,0.136364,0.228296
174,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.136364,0.136364,0.136364,0.136364,0.22826
175,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.136364,0.136364,0.136364,0.136364,0.22825
176,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.136364,0.136364,0.136364,0.136364,0.22819
177,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.277778,0.230769,0.2,0.133929,0.133929,0.133929,0.133929,0.22813
178,0,0,10,protocol,7.5,200,56,0.28,20,19,0.95,0.925,0.56,0.28,0.215385,0.186667,0.121739,0.121739,0.121739,0.121739,0.228072
179,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.3,0.230769,0.2,0.130435,0.130435,0.130435,0.130435,0.228022
180,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.3,0.230769,0.2,0.130435,0.130435,0.130435,0.130435,0.227989
181,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.3,0.230769,0.2,0.130435,0.130435,0.130435,0.130435,0.228081
182,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.3,0.232558,0.2,0.130435,0.130435,0.130435,0.130435,0.228104
183,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.3,0.25,0.194805,0.130435,0.130435,0.130435,0.130435,0.228072
184,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.3,0.25,0.1875,0.130435,0.130435,0.130435,0.130435,0.228047
185,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.3,0.25,0.1875,0.130435,0.130435,0.130435,0.130435,0.228031
186,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.3,0.25,0.1875,0.130435,0.130435,0.130435,0.130435,0.227999
187,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.3,0.25,0.1875,0.130435,0.130435,0.130435,0.130435,0.227944
188,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.3,0.25,0.1875,0.130435,0.130435,0.130435,0.130435,0.227912
189,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.3,0.25,0.192308,0.130435,0.130435,0.130435,0.130435,0.227859
190,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.3,0.232558,0.2,0.130435,0.130435,0.130435,0.130435,0.227821
191,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.3,0.230769,0.2,0.130435,0.130435,0.130435,0.130435,0.227828
192,0,0,10,protocol,7.5,200,57,0.285,20,20,1,0.95,0.57,0.285,0.219231,0.19,0.123913,0.123913,0.123913,0.123913,0.227902
193,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.3,0.230769,0.2,0.130435,0.130435,0.130435,0.130435,0.227903
194,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.3,0.230769,0.2,0.130435,0.130435,0.130435,0.130435,0.227866
195,0,0,10,protocol,7.5,200,56,0.28,20,18,0.9,0.925,0.56,0.269231,0.215385,0.186667,0.122807,0.122807,0.122807,0.122807,0.227837
196,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.136364,0.136364,0.136364,0.136364,0.227831
197,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.136364,0.136364,0.136364,0.136364,0.22778
198,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.136364,0.136364,0.136364,0.136364,0.22773
199,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.136364,0.136364,0.136364,0.136364,0.227681
200,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.136364,0.136364,0.136364,0.136364,0.227639
201,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.136364,0.136364,0.136364,0.136364,0.227611
202,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.136364,0.136364,0.136364,0.136364,0.227695
203,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.136364,0.136364,0.136364,0.136364,0.227717
204,0,0,10,protocol,7.5,200,58,0.29,20,19,0.95,0.975,0.58,0.263636,0.223077,0.193333,0.131818,0.131818,0.131818,0.131818,0.227691
205,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.136364,0.136364,0.136364,0.136364,0.227671
206,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.136364,0.136364,0.136364,0.136364,0.227659
207,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.136364,0.136364,0.136364,0.136364,0.227633
208,0,0,10,protocol,7.5,200,60,0.3,20,20,1,1,0.6,0.272727,0.230769,0.2,0.136364,0.136364,0.136364,0.136364,0.227586
