SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
145,1530.37,2989,10,protocol,7.5,320,375,1.17188,178,161,0.904494,0.802381,0.407166,0.229779,0.174419,0.150966,0.130571,0.130571,0.130571,0.130571,154.525
146,1503.74,2937,10,protocol,7.5,320,380,1.1875,148,134,0.905405,0.79798,0.4,0.234568,0.180095,0.150555,0.131944,0.131944,0.131944,0.131944,149.014
147,1446.91,2826,10,protocol,7.5,320,404,1.2625,120,109,0.908333,0.801008,0.411825,0.250932,0.194699,0.156832,0.13931,0.13931,0.13931,0.13931,143.904
148,1421.31,2776,10,protocol,7.5,320,364,1.1375,120,92,0.766667,0.710762,0.369168,0.230672,0.180466,0.140541,0.124232,0.124232,0.124232,0.124232,139.007
149,1403.9,2742,10,protocol,7.5,320,401,1.25313,124,89,0.717742,0.748879,0.411704,0.253797,0.196569,0.156274,0.136767,0.136767,0.136767,0.136767,134.456
150,1390.59,2716,10,protocol,7.5,320,385,1.20312,142,104,0.732394,0.748826,0.408271,0.241834,0.189189,0.149689,0.130508,0.130508,0.130508,0.130508,130.164
151,1385.98,2707,10,protocol,7.5,320,402,1.25625,180,139,0.772222,0.778325,0.421826,0.243636,0.199207,0.154854,0.135811,0.135811,0.135811,0.135811,126.102
152,1414.66,2763,10,protocol,7.5,320,390,1.21875,160,119,0.74375,0.736979,0.40625,0.235507,0.193452,0.150115,0.132563,0.132563,0.132563,0.132563,122.226
153,1396.22,2727,10,protocol,7.5,320,375,1.17188,130,95,0.730769,0.694737,0.383044,0.231768,0.186567,0.146142,0.12891,0.12891,0.12891,0.12891,118.563
154,1397.25,2729,10,protocol,7.5,320,382,1.19375,94,63,0.670213,0.689008,0.378218,0.238303,0.18616,0.150512,0.131997,0.131997,0.131997,0.131997,115.079
155,1406.46,2747,10,protocol,7.5,320,417,1.30313,100,88,0.88,0.759259,0.396765,0.262264,0.201255,0.163018,0.144741,0.144741,0.144741,0.144741,111.764
156,1404.42,2743,10,protocol,7.5,320,353,1.10312,94,80,0.851064,0.695364,0.334915,0.223701,0.172701,0.136663,0.12334,0.12334,0.12334,0.12334,108.628
157,1342.98,2623,10,protocol,7.5,320,303,0.946875,86,74,0.860465,0.666667,0.281076,0.193982,0.150447,0.118637,0.10587,0.10587,0.10587,0.10587,105.671
158,1378.3,2692,10,protocol,7.5,320,320,1,120,105,0.875,0.719858,0.323232,0.206718,0.16008,0.125984,0.112676,0.112676,0.112676,0.112676,102.819
159,1391.62,2718,10,protocol,7.5,320,339,1.05937,120,110,0.916667,0.777027,0.353862,0.21956,0.171385,0.133517,0.119366,0.119366,0.119366,0.119366,100.092
160,1395.2,2725,10,protocol,7.5,320,332,1.0375,120,108,0.9,0.765625,0.353191,0.220159,0.171488,0.131851,0.11773,0.11773,0.11773,0.11773,97.4718
161,1391.62,2718,10,protocol,7.5,320,324,1.0125,120,102,0.85,0.725,0.340336,0.227209,0.167876,0.1296,0.115302,0.115302,0.115302,0.115302,94.9551
162,1397.25,2729,10,protocol,7.5,320,355,1.10938,122,108,0.885246,0.75,0.366736,0.25,0.187533,0.142342,0.126786,0.126786,0.126786,0.126786,92.5501
163,1390.08,2715,10,protocol,7.5,320,365,1.14062,120,107,0.891667,0.758112,0.380208,0.255961,0.201435,0.148013,0.131201,0.131201,0.131201,0.131201,90.2426
164,1373.7,2683,10,protocol,7.5,320,397,1.24063,128,117,0.914062,0.83121,0.417895,0.275694,0.222783,0.160339,0.14209,0.14209,0.14209,0.14209,88.0468
165,1394.69,2724,10,protocol,7.5,320,396,1.2375,134,121,0.902985,0.84,0.420382,0.278873,0.221477,0.165275,0.142241,0.142241,0.142241,0.142241,85.9124
166,1384.96,2705,10,protocol,7.5,320,369,1.15312,120,107,0.891667,0.773585,0.395923,0.253434,0.207071,0.155434,0.13188,0.13188,0.13188,0.13188,83.8672
167,1369.6,2675,10,protocol,7.5,320,391,1.22188,120,110,0.916667,0.780864,0.425,0.271528,0.218925,0.166809,0.141359,0.141359,0.141359,0.141359,81.8928
168,1389.06,2713,10,protocol,7.5,320,381,1.19063,120,108,0.9,0.777778,0.41413,0.268688,0.212375,0.161441,0.138043,0.138043,0.138043,0.138043,79.9761
169,1404.93,2744,10,protocol,7.5,320,381,1.19063,120,108,0.9,0.81,0.41413,0.272143,0.213565,0.162543,0.138043,0.138043,0.138043,0.138043,78.1243
170,1365.5,2667,10,protocol,7.5,320,360,1.125,108,98,0.907407,0.76,0.391304,0.259366,0.202931,0.154044,0.129964,0.129964,0.129964,0.129964,76.3652
171,1401.86,2738,10,protocol,7.5,320,326,1.01875,100,90,0.9,0.736667,0.362222,0.236232,0.184285,0.139316,0.117945,0.117945,0.117945,0.117945,74.6444
172,1393.15,2721,10,protocol,7.5,320,329,1.02812,100,90,0.9,0.726667,0.379032,0.239099,0.18908,0.140598,0.119203,0.119203,0.119203,0.119203,72.9782
173,1392.64,2720,10,protocol,7.5,320,354,1.10625,100,90,0.9,0.792857,0.419431,0.257267,0.203448,0.151282,0.129956,0.129956,0.129956,0.129956,71.372
174,1399.81,2734,10,protocol,7.5,320,301,0.940625,100,89,0.89,0.732143,0.358333,0.218433,0.172989,0.128413,0.110662,0.110662,0.110662,0.110662,69.8172
175,1395.71,2726,10,protocol,7.5,320,337,1.05313,100,89,0.89,0.757143,0.398345,0.244203,0.193678,0.144264,0.123897,0.123897,0.123897,0.123897,68.3093
176,1400.83,2736,10,protocol,7.5,320,315,0.984375,100,87,0.87,0.717857,0.369718,0.228261,0.181034,0.136482,0.115809,0.115809,0.115809,0.115809,66.8525
177,1377.79,2691,10,protocol,7.5,320,329,1.02812,100,89,0.89,0.744444,0.391667,0.238406,0.18908,0.143043,0.120425,0.120425,0.120425,0.120425,65.4511
178,1380.86,2697,10,protocol,7.5,320,322,1.00625,100,88,0.88,0.753846,0.383333,0.23607,0.18527,0.14,0.117518,0.117518,0.117518,0.117518,64.0835
179,1381.38,2698,10,protocol,7.5,320,326,1.01875,100,87,0.87,0.734615,0.388095,0.243284,0.189535,0.141862,0.118978,0.118978,0.118978,0.118978,62.7591
180,1387.01,2709,10,protocol,7.5,320,319,0.996875,100,89,0.89,0.769231,0.379762,0.239489,0.187647,0.139545,0.116594,0.116594,0.116594,0.116594,61.4764
181,1390.08,2715,10,protocol,7.5,320,328,1.025,100,89,0.89,0.738462,0.390476,0.245509,0.191925,0.142609,0.120721,0.120721,0.120721,0.120721,60.2317
182,1398.78,2732,10,protocol,7.5,320,327,1.02188,100,88,0.88,0.744526,0.389286,0.247727,0.190116,0.142422,0.121156,0.121156,0.121156,0.121156,59.018
183,1404.42,2743,10,protocol,7.5,320,298,0.93125,100,90,0.9,0.725,0.351415,0.2261,0.17696,0.130702,0.109559,0.109559,0.109559,0.109559,57.836
184,1383.42,2702,10,protocol,7.5,320,319,0.996875,100,90,0.9,0.75,0.372664,0.245385,0.189881,0.141026,0.117452,0.117452,0.117452,0.117452,56.6936
185,1389.57,2714,10,protocol,7.5,320,331,1.03438,100,90,0.9,0.771429,0.394048,0.254615,0.199398,0.14646,0.122593,0.122593,0.122593,0.122593,55.582
186,1404.42,2743,10,protocol,7.5,320,301,0.940625,100,88,0.88,0.689286,0.358333,0.231538,0.181325,0.133186,0.111481,0.111481,0.111481,0.111481,54.4957
187,1383.42,2702,10,protocol,7.5,320,318,0.99375,100,89,0.89,0.75,0.378571,0.244615,0.191566,0.140708,0.118216,0.118216,0.118216,0.118216,53.4461
188,1383.94,2703,10,protocol,7.5,320,335,1.04688,100,90,0.9,0.746429,0.39881,0.257692,0.201807,0.14823,0.125468,0.125468,0.125468,0.125468,52.4174
189,1388.54,2712,10,protocol,7.5,320,325,1.01562,100,88,0.88,0.764286,0.386905,0.25,0.197209,0.144831,0.12218,0.12218,0.12218,0.12218,51.4143
190,1389.57,2714,10,protocol,7.5,320,350,1.09375,100,89,0.89,0.789286,0.416667,0.269231,0.213415,0.15625,0.131579,0.131579,0.131579,0.131579,50.4448
191,1398.78,2732,10,protocol,7.5,320,302,0.94375,100,90,0.9,0.7,0.359524,0.232308,0.184146,0.134821,0.113534,0.113534,0.113534,0.113534,49.4932
192,1384.96,2705,10,protocol,7.5,320,307,0.959375,100,90,0.9,0.732143,0.365476,0.236154,0.189506,0.137237,0.116024,0.116024,0.116024,0.116024,48.568
193,1410.56,2755,10,protocol,7.5,320,322,1.00625,100,89,0.89,0.735714,0.383333,0.25117,0.198765,0.145045,0.12197,0.12197,0.12197,0.12197,47.6631
194,1367.04,2670,10,protocol,7.5,320,327,1.02188,100,88,0.88,0.696429,0.389286,0.255469,0.201852,0.148501,0.123864,0.123864,0.123864,0.123864,46.7922
195,1394.18,2723,10,protocol,7.5,320,335,1.04688,100,91,0.91,0.767857,0.39881,0.261719,0.20679,0.154663,0.127863,0.127863,0.127863,0.127863,45.9345
196,1408,2750,10,protocol,7.5,320,320,1,100,90,0.9,0.725,0.380952,0.25,0.2,0.148285,0.123267,0.123267,0.123267,0.123267,45.094
197,1402.37,2739,10,protocol,7.5,320,315,0.984375,100,90,0.9,0.735714,0.375,0.246094,0.196875,0.147196,0.122093,0.122093,0.122093,0.122093,44.2735
198,1387.01,2709,10,protocol,7.5,320,313,0.978125,100,88,0.88,0.742857,0.372619,0.244531,0.195625,0.146262,0.121885,0.121885,0.121885,0.121885,43.4741
199,1377.28,2690,10,protocol,7.5,320,317,0.990625,100,90,0.9,0.735714,0.377381,0.247656,0.198125,0.148131,0.123828,0.123828,0.123828,0.123828,42.6949
200,1394.69,2724,10,protocol,7.5,320,314,0.98125,100,88,0.88,0.721429,0.37381,0.245312,0.19625,0.148113,0.122656,0.122656,0.122656,0.122656,41.9322
201,1405.44,2745,10,protocol,7.5,320,321,1.00313,100,90,0.9,0.75,0.382143,0.250781,0.200625,0.151415,0.125391,0.125391,0.125391,0.125391,41.1859
202,1367.55,2671,10,protocol,7.5,320,317,0.990625,100,88,0.88,0.728571,0.377381,0.247656,0.198125,0.148547,0.123828,0.123828,0.123828,0.123828,40.4654
203,1398.78,2732,10,protocol,7.5,320,336,1.05,100,88,0.88,0.771429,0.4,0.2625,0.21,0.157009,0.13125,0.13125,0.13125,0.13125,39.751
204,1377.28,2690,10,protocol,7.5,320,325,1.01562,100,87,0.87,0.742857,0.386905,0.253906,0.203125,0.151869,0.126953,0.126953,0.126953,0.126953,39.0584
205,1411.07,2756,10,protocol,7.5,320,308,0.9625,100,88,0.88,0.710714,0.366667,0.240625,0.1925,0.143925,0.120313,0.120313,0.120313,0.120313,38.3729
