SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
114,4.096,8,10,protocol,7.5,640,1479,2.31094,570,530,0.929825,0.722899,0.409922,0.253601,0.170884,0.130194,0.106972,0.106972,0.106972,0.106972,0.338399
115,4.096,8,10,protocol,7.5,640,1605,2.50781,652,626,0.960123,0.762786,0.454417,0.279228,0.184483,0.142768,0.116795,0.116795,0.116795,0.116795,0.337799
116,4.096,8,10,protocol,7.5,640,1514,2.36563,664,612,0.921687,0.697209,0.444379,0.262802,0.17228,0.135493,0.111553,0.111553,0.111553,0.111553,0.337536
117,4.096,8,10,protocol,7.5,640,1678,2.62188,664,645,0.971386,0.776103,0.480527,0.293357,0.194393,0.150791,0.126099,0.126099,0.126099,0.126099,0.337059
118,4.096,8,10,protocol,7.5,640,1543,2.41094,662,612,0.924471,0.721825,0.435753,0.277318,0.181465,0.140311,0.116347,0.116347,0.116347,0.116347,0.336725
119,4.096,8,10,protocol,7.5,640,1706,2.66562,682,630,0.923754,0.783297,0.49593,0.304317,0.202781,0.159112,0.129803,0.129803,0.129803,0.129803,0.336209
120,4.096,8,10,protocol,7.5,640,1676,2.61875,792,746,0.941919,0.780631,0.487493,0.302254,0.204067,0.156885,0.128125,0.128125,0.128125,0.128125,0.335784
121,4.096,8,10,protocol,7.5,640,1802,2.81562,847,810,0.956316,0.812726,0.532191,0.323519,0.220942,0.169696,0.139636,0.139636,0.139636,0.139636,0.335273
122,4.096,8,10,protocol,7.5,640,1779,2.77969,952,906,0.951681,0.80582,0.525244,0.322692,0.221434,0.169283,0.138941,0.138941,0.138941,0.138941,0.334869
123,4.096,8,10,protocol,7.5,640,1918,2.99688,904,884,0.977876,0.842391,0.557072,0.354071,0.239063,0.185386,0.151501,0.151501,0.151501,0.151501,0.334468
124,4.096,8,10,protocol,7.5,640,1867,2.91719,874,839,0.959954,0.813385,0.523409,0.346768,0.235198,0.184486,0.149539,0.149539,0.149539,0.149539,0.333967
125,4.096,8,10,protocol,7.5,640,1762,2.75312,904,837,0.925885,0.741042,0.475959,0.330768,0.226216,0.176695,0.142915,0.142915,0.142915,0.142915,0.333478
126,4.096,8,10,protocol,7.5,640,1926,3.00937,766,719,0.938642,0.774586,0.51074,0.361894,0.248869,0.196011,0.158349,0.158349,0.158349,0.158349,0.333036
127,4.096,8,10,protocol,7.5,640,1803,2.81719,676,643,0.951183,0.741919,0.478757,0.337767,0.23501,0.18752,0.149888,0.149888,0.149888,0.149888,0.332737
128,4.096,8,10,protocol,7.5,640,1891,2.95469,668,633,0.947605,0.751568,0.492961,0.356389,0.246513,0.200445,0.159983,0.159983,0.159983,0.159983,0.332536
129,4.096,8,10,protocol,7.5,640,1905,2.97656,681,642,0.942731,0.748354,0.502904,0.357009,0.247467,0.204575,0.162974,0.162974,0.162974,0.162974,0.332181
130,4.096,8,10,protocol,7.5,640,1829,2.85781,712,659,0.925562,0.741845,0.50041,0.335843,0.236733,0.1969,0.157863,0.157863,0.157863,0.157863,0.331759
131,4.096,8,10,protocol,7.5,640,1878,2.93438,829,777,0.937274,0.775023,0.524288,0.343704,0.24295,0.203071,0.161757,0.161757,0.161757,0.161757,0.331519
132,4.096,8,10,protocol,7.5,640,1965,3.07031,909,866,0.952695,0.814016,0.555556,0.366058,0.25636,0.212455,0.169939,0.169939,0.169939,0.169939,0.331176
133,4.096,8,10,protocol,7.5,640,1929,3.01406,997,923,0.925777,0.807801,0.545223,0.36314,0.253582,0.205322,0.166955,0.166955,0.166955,0.166955,0.330911
134,4.096,8,10,protocol,7.5,640,2013,3.14531,948,928,0.978903,0.863054,0.551507,0.391482,0.270346,0.212971,0.175685,0.175685,0.175685,0.175685,0.330568
135,4.096,8,10,protocol,7.5,640,1944,3.0375,836,768,0.91866,0.812287,0.550708,0.382075,0.270225,0.20502,0.170916,0.170916,0.170916,0.170916,0.330234
136,4.096,8,10,protocol,7.5,640,2013,3.14531,776,725,0.934278,0.831745,0.571226,0.394165,0.282685,0.212387,0.178079,0.178079,0.178079,0.178079,0.329855
137,4.096,8,10,protocol,7.5,640,2045,3.19531,700,681,0.972857,0.855655,0.594131,0.400117,0.291809,0.218576,0.182492,0.182492,0.182492,0.182492,0.329638
